db_id,conv_name,description,targets
DB00830,Phenmetrazine,A sympathomimetic drug used primarily as an appetite depressant. Its actions and mechanisms are similar to dextroamphetamine.,"[['P23975'], ['Q01959']]"
DB00831,Trifluoperazine,A phenothiazine with actions similar to chlorpromazine. It is used as an antipsychotic and an antiemetic.,"[['P05177'], ['P08183'], ['P0DP23'], ['P14416'], ['P22310'], ['P26447'], ['P25100', 'P35348'], ['P47989'], ['P19429', 'P63316'], ['Q9NYX4']]"
DB00833,Cefaclor,"Semisynthetic, broad-spectrum antibiotic derivative of cephalexin.","[['O95342'], ['P05164'], ['P46059'], ['Q16348'], ['Q8TCC7']]"
DB00834,Mifepristone,"Mifepristone is a progestational and glucocorticoid hormone antagonist. Its inhibition of progesterone induces bleeding during the luteal phase and in early pregnancy by releasing endogenous prostaglandins from the endometrium or decidua. As a glucocorticoid receptor antagonist, the drug has been used to treat hypercortisolism in patients with nonpituitary cushing syndrome. The two marketed forms of mifepristone are Mifeprex® (mifepristone 200mg) and Korlym™ (mifepristone 300mg). Currently under investigation for use in psychotic depression (phase 3 trials).","[['O75469'], ['O95342'], ['P04150'], ['P06401'], ['P03952', 'P07288'], ['P08183'], ['P08684'], ['P10632'], ['P10635'], ['P11712'], ['P20815'], ['P33527'], ['Q9NPD5'], ['Q9Y6L6']]"
DB00835,Brompheniramine,"Histamine H1 antagonist used in treatment of allergies, rhinitis, and urticaria.","[['P08172'], ['P08173'], ['P08912'], ['P11229'], ['P20309'], ['P35367']]"
DB00836,Loperamide,"Loperamide is an anti-diarrheal agent that is available as various over-the-counter products for treating diarrhea.[L42785] The drug was first synthesized in 1969 and used medically in 1976.[A251610] It is a highly lipophilic synthetic phenylpiperidine opioid [A251610] that is structurally similar to opiate receptor agonists such as [diphenoxylate] and [haloperidol].[A6249] Due to pharmacological properties, loperamide has been misused and abused to self-manage opioid withdrawal symptoms and to induce euphoria.[A251610, A251625] However, loperamide is associated with a risk for experiencing a range of adverse effects, often life-threatening, if taking for non-therapeutic reasons or at doses higher than the recommended dose.[L42790]","[['O00555'], ['P01189'], ['P08183'], ['P08684'], ['P0DP23'], ['P10632'], ['P10635'], ['P20813'], ['P35372'], ['P41143'], ['P41145'], ['Q14994']]"
DB00837,Progabide,"Progabide is an analog and prodrug of gamma-aminobutyric acid. It is commonly used in the treatment of epilepsy. It has agonistic activity for both the GABAA and GABAB receptors. In clinical trials, progabide has been investigated for Parkinson's disease, schizophrenia, clinical depression and anxiety disorder; its therapeutic effectiveness in these conditions is not fully elucidated.","[['P14867'], ['Q9UBS5']]"
DB00838,Clocortolone,Clocortolone is a medium potency corticosteroid that is often used as a topical cream for the relief of inflammatory oand pruritic (itching) arising from steroid-responsive dermatoses of the scalp.,[['P04150']]
DB00839,Tolazamide,A sulphonylurea hypoglycemic agent with actions and uses similar to those of chlorpropamide.,"[['P11712'], ['Q09428'], ['Q14654']]"
DB00841,Dobutamine,A beta-1 agonist catecholamine that has cardiac stimulant action without evoking vasoconstriction or tachycardia. It is proposed as a cardiotonic after myocardial infarction or open heart surgery.,"[['P03372'], ['P07550'], ['P08588'], ['P21964'], ['P25100'], ['P25100', 'P35348'], ['P35368']]"
DB00842,Oxazepam,"Oxazepam is an intermediate-acting, 3-hydroxybenzodiazepine used in the treatment of alcohol withdrawal and anxiety disorders. Oxazepam, like related 3-hydroxybenzodiazepine [lorazepam], is considered less susceptible to pharmacokinetic variability based on patient-specific factors (e.g. age, liver disease) - this feature is advantageous as compared to other benzodiazepines, and is likely owing in part to oxazepam's relatively simple metabolism.[A203516] It is an active metabolite of both [diazepam] and [temazepam][A39486] and undergoes very little biotransformation following absorption, making it unlikely to participate in pharmacokinetic interactions.[L13895]","[['O00591'], ['O14764'], ['O60656'], ['P02768', 'Q8TES7'], ['P14867'], ['P16662'], ['P18505'], ['P18507'], ['P28472'], ['P31644'], ['P34903'], ['P47869'], ['P47870'], ['P48169'], ['P54855'], ['P78334'], ['Q16445'], ['Q8N1C3'], ['Q99928'], ['Q9UN88']]"
DB00843,Donepezil,"In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] A donepezil transdermal delivery system, Adlarity, was approved by the FDA in March 2022 for the treatment of Alzheimer's dementia.[L41125] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]","[['O15399'], ['O60391'], ['P01584'], ['P06276'], ['P08684'], ['P10635'], ['P11712'], ['P19838'], ['P22303'], ['P28223'], ['P29475', 'Q8WY41'], ['P98066'], ['Q00653'], ['Q05586'], ['Q12879'], ['Q13224'], ['Q14957'], ['Q8TCU5'], ['Q9UNQ0']]"
DB00844,Nalbuphine,A narcotic used as a pain medication. It appears to be an agonist at kappa opioid receptors and an antagonist or partial agonist at mu opioid receptors. Nalbuphine is the only opioid analgesic that is not a controlled substance in the United States.,"[['P35372'], ['P41143'], ['P41145']]"
DB00845,Clofazimine,"Clofazimine is a highly lipophilic antimicrobial riminophenazine dye used in combination with other agents, such as [dapsone], for the treatment of leprosy. It was originally described in 1957 and was the prototypical riminophenazine dye - a bright-red dye that, in its clinical use, results in long-lasting discoloration of the skin and bodily fluids.[A203144] Although it carries _in vitro_ activity against other mycobacterium, such as _Mycobacterium tuberculosis_, it is generally considered an ineffective treatment in comparison to classic tuberculosis treatments such as [rifampicin] and [isoniazid].[A203144]","[['P02768', 'Q8TES7'], ['P08183'], ['P08684'], ['P10632'], ['P10635'], ['P20815'], ['P22001'], ['P33527'], ['P37231'], ['Q9UNQ0']]"
DB00846,Flurandrenolide,"A corticosteroid used topically in the treatment of various skin disorders. It is usually employed as a cream or an ointment, and is also used as a polyethylene tape with an adhesive. (From Martindale, The Extra Pharmacopoeia, 30th ed, p733)","[['P04150'], ['P08185'], ['P08684']]"
DB00847,Cysteamine,"Cystinosis is a rare disease caused by mutations in the CTNS gene that encodes for cystinosin, a protein responsible for transporting cystine out of the cell lysosome. A defect in cystinosin function is followed by cystine accumulation throughout the body, especially the eyes and kidneys.[A218721]Several preparations of cysteamine exist for the treatment of cystinosis manifestations, some in capsule form, and others in ophthalmic solution form.[L15606,L15616] In particular, cystine deposits on the eye can cause significant discomfort throughout the day and require frequent treatment with eye drops, typically every waking hour.[L15611]On August 25th 2020, the first ophthalmic solution for cystinosis requiring only 4 daily treatments was granted FDA approval.[L15606]  Cysteamine eye drops are a practical and effective option for those affected by ocular cystinosis. Marketed by Recordati Rare Diseases Inc., CYSTADROPS® reduce the burden of multiple frequent medications normally administered to those with cystinosis.[L15601]","[['P02768', 'Q8TES7'], ['P05164'], ['P49146']]"
DB00848,Levamisole,"Levamisole is an antihelminthic drug that was commonly used for the treatment of parasitic, viral, and bacterial infections. [A178117] It was manufactured by _Janssen_ and first used in 1969 as an agent to treat worm infestations[A178123] Levamisole was approved by the FDA in 1990 as an adjuvant treatment for colon cancer.[L6232] Prior to this, levamisole was used as an antirheumatic therapy in the 1970s and 1980s for patients with rheumatoid arthritis.[A178123] Because of its immunomodulatory effects, this drug has been studied in the treatment of various immune-mediated diseases, with some studies showing positive results. [A178117] This drug has also been used in combination with other drugs for the treatment of various cancers. [A178117, A178123] Levamisole was withdrawn from the American market in 2000 due to its ability to cause serious adverse effects, including agranulocytosis. [A178123] Interestingly, levamisole has been found as an adulterant in cocaine and can lead to a variety of adverse effects in individuals using this drug.[A178120]","[['P10696'], ['P32297']]"
DB00849,Methylphenobarbital,"A barbiturate that is metabolized to phenobarbital. It has been used for similar purposes, especially in epilepsy, but there is no evidence mephobarbital offers any advantage over phenobarbital.","[['O75469'], ['P14867'], ['P20813'], ['P31644'], ['P33261'], ['P34903'], ['P36544'], ['P42262'], ['P43681'], ['P47869'], ['P48169'], ['Q13002', 'Q16478'], ['Q16445']]"
DB00850,Perphenazine,An antipsychotic phenothiazine derivative with actions and uses similar to those of chlorpromazine.,"[['P05177'], ['P08684'], ['P0DP23'], ['P10632'], ['P10635'], ['P11712'], ['P14416'], ['P21728'], ['P33260'], ['P33261']]"
DB00851,Dacarbazine,"An antineoplastic agent. It has significant activity against melanomas. (from Martindale, The Extra Pharmacopoeia, 31st ed, p564). Dacarbazine with Oblimersen is in clinical trials for the treatment of malignant melanoma.","[['P04798'], ['P05177'], ['P05181'], ['P52209'], ['Q14181']]"
DB00852,Pseudoephedrine,"Pseudoephedrine is structurally related to [ephedrine] but exerts a weaker effect on the sympathetic nervous system.[A188820,A188823] Both drugs naturally occur in in ephedra plant which have a history of use in traditional Eastern medicine and were first researched in the west in 1889.[A188823] The decongestant effect of pseudoephedrine was described in dogs in 1927.[A188823]","[['O95644'], ['P01100'], ['P01375'], ['P02768', 'Q8TES7'], ['P05412'], ['P07550'], ['P08588'], ['P08913'], ['P15336'], ['P17544'], ['P18846'], ['P18847'], ['P18848'], ['P18850'], ['P19838'], ['P21397'], ['P23975'], ['P31645'], ['P25100', 'P35348'], ['P60568'], ['Q01959'], ['Q8WYK2'], ['Q9Y2D1']]"
DB00853,Temozolomide,"Refractory anaplastic astrocytoma (WHO grade III) and Glioblastoma multiforme (WHO grade IV) are primary malignant brain tumours with poor prognosis and limited treatment options. Despite considerable genetic heterogeneity, these tumours often have impaired DNA repair systems, rendering them initially sensitive to alkylating agents, although they invariably develop resistance to these agents over time.[A229848, A229858, L32033] Temozolomide is an imidazotetrazine prodrug that is stable at acidic pH but undergoes spontaneous nonenzymatic hydrolysis at neutral or slightly basic pH; these properties allow for both oral and intravenous administration.[A229853, A229888, A229923, L32033] Following initial hydrolysis, further reactions liberate a highly reactive methyl diazonium cation capable of methylating various residues on adenosine and guanine bases leading to DNA lesions and eventual apoptosis.[A229853, A229923] Temozomolide as an adjunct to radiotherapy followed by maintenance dosing remains the standard of care for both Glioblastoma and refractory anaplastic astrocytoma.[L32033]Temozolomide was granted FDA approval on August 11, 1999, as an oral capsule and subsequently on February 27, 2009, as an intravenous injection. It is currently marketed under the trademark TEMODAR® by Merck.[L32033]","[['P02763'], ['P02768', 'Q8TES7'], ['P08183'], ['Q9UNQ0']]"
DB00854,Levorphanol,A narcotic analgesic that may be habit-forming. It is nearly as effective orally as by injection.,"[['P35372'], ['P41143'], ['P41145']]"
DB00855,Aminolevulinic acid,A compound produced from succinyl-CoA and glycine as an intermediate in heme synthesis. It is used as a photochemotherapy for actinic keratosis. [PubChem],"[['P13716'], ['P46059'], ['Q16348']]"
DB00857,Terbinafine,"Terbinafine hydrochloride (Lamisil) is a synthetic allylamine antifungal.[L9065,L9068] It is highly lipophilic in nature and tends to accumulate in skin, nails, and fatty tissues.[A1279] Like other allylamines, terbinafine inhibits ergosterol synthesis by inhibiting the fungal squalene monooxygenase (also called squalene epoxidase), an enzyme that is part of the fungal cell wall synthesis pathway.[A1279,A1281,L9068]Terbinafine hydrochloride was granted FDA approval on 30 December 1992.[L9064]","[['P02763'], ['P02768', 'Q8TES7'], ['P05177'], ['P08684'], ['P10632'], ['P10635'], ['P11712'], ['P19652'], ['P23219'], ['P33261'], ['Q14534']]"
DB00858,Drostanolone,"Drostanolone (also known as dromostanolone) is a potent synthetic androgenic anabolic steroid similar to testosterone. Drostanolone is indicated in postmenopausal women with recurrent breast cancer, in a combined hormone therapy.","[['P04278'], ['P10275'], ['P11511']]"
DB00859,Penicillamine,"Penicillamine is a pharmaceutical of the chelator class. The pharmaceutical form is D-penicillamine, as L-penicillamine is toxic (it inhibits the action of pyridoxine). It is an α-amino acid metabolite of penicillin, although it has no antibiotic properties.",[['Q9Y6L6']]
DB00860,Prednisolone,"Prednisolone is a glucocorticoid similar to [cortisol] used for its anti-inflammatory, immunosuppressive, anti-neoplastic, and vasoconstrictive effects.[A187463]Prednisolone was granted FDA approval on 21 June 1955.[L9431]","[['P02768', 'Q8TES7'], ['P04150'], ['P08183'], ['P08185'], ['P08684'], ['P46721']]"
DB00861,Diflunisal,"Diflunisal, a salicylate derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with pharmacologic actions similar to other prototypical NSAIAs. Diflunisal possesses anti-inflammatory, analgesic and antipyretic activity. Though its mechanism of action has not been clearly established, most of its actions appear to be associated with inhibition of prostaglandin synthesis via the arachidonic acid pathway. Diflunisal is used to relieve pain accompanied with inflammation and in the symptomatic treatment of rheumatoid arthritis and osteoarthritis.","[['O60656'], ['P02766'], ['P02768', 'Q8TES7'], ['P23219'], ['P35354'], ['Q4U2R8'], ['Q9HAW9']]"
DB00862,Vardenafil,"Vardenafil is a selective inhibitor of cyclic guanosine monophosphate (cGMP)-specific phosphodiesterase type 5 (PDE5) and an oral therapy for the treatment of erectile dysfunction.[L45563,L45568] During sexual stimulation, nitric oxide (NO) is released from nerve endings and endothelial cells in the corpus cavernosum, activating the enzyme guanylate cyclase and increasing the synthesis of cGMP in the smooth muscle cells of the corpus cavernosum. PDE5 inhibitors, such as vardenafil, inhibit the degradation of cGMP and allow increased blood flow into the penis, resulting in an erection.[A258303,L45563,L45568]. Compared to [sildenafil] and [tadalafil], vardenafil is a more potent inhibitor of PDE5; however, its selectivity for other PDE isoforms is lower than the one detected for tadalafil.[A258318]The FDA approved the use of vardenafil for the treatment of erectile dysfunction in 2003. Although other PDE5 inhibitors such as [sildenafil] and [tadalafil] have been associated with rare cases of acute liver injury, the use of vardenafil has not been linked to hepatotoxic effects.[A258313] The use of vardenafil as a monotherapy for the treatment of pulmonary arterial hypertension has also been evaluated.[A258308]","[['O76074'], ['P08183'], ['P08684'], ['P18545'], ['P20815'], ['Q13956']]"
DB00863,Ranitidine,"Ranitidine is a commonly used drug, classified as a histamine H2-receptor antagonist, and belongs to the same drug class as [cimetidine] and [famotidine]. This drug helps to prevent and treat gastric-acid associated conditions, including ulcers, because of its ability to decrease gastric acid secretion.[A176759,L10818] Ranitidine is often referred to as Zantac, and is available in various forms, including tablet, injection, and effervescent tablet preparations.[L10818,F4253]The prevalence of GERD is thought to be 10-20% in western countries.[A176843] Ranitidine has proven to be an effective treatment for relieving uncomfortable symptoms of gastric acid associated conditions and is therefore widely used in GERD and other gastric-acid related conditions.[A176849,L10818]","[['O15244'], ['O15245'], ['P05177'], ['P08183'], ['P08684'], ['P10635'], ['P22303'], ['P25021'], ['Q8TCC7']]"
DB00864,Tacrolimus,"Tacrolimus (also FK-506 or Fujimycin) is an immunosuppressive drug whose main use is after organ transplant to reduce the activity of the patient's immune system and so the risk of organ rejection. It is also used in a topical preparation in the treatment of severe atopic dermatitis, severe refractory uveitis after bone marrow transplants, and the skin condition vitiligo. It was discovered in 1984 from the fermentation broth of a Japanese soil sample that contained the bacteria Streptomyces tsukubaensis. Tacrolimus is chemically known as a macrolide. It reduces peptidyl-prolyl isomerase activity by binding to the immunophilin FKBP-12 (FK506 binding protein) creating a new complex. This FKBP12-FK506 complex inhibits calcineurin which inhibits T-lymphocyte signal transduction and IL-2 transcription.","[['P02763'], ['P02768', 'Q8TES7'], ['P08183'], ['P08684'], ['P20815'], ['P62942'], ['Q8WWZ7'], ['Q9Y6L6']]"
DB00865,Benzphetamine,"A sympathomimetic agent with properties similar to dextroamphetamine. It is used in the treatment of obesity. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1222)","[['P08684'], ['P08913'], ['P16435'], ['P20813'], ['P25100', 'P35348'], ['Q01959'], ['Q05940']]"
DB00866,Alprenolol,"One of the adrenergic beta-antagonists used as an antihypertensive, anti-anginal, and anti-arrhythmic agent. Alprenolol is no longer marketed by AstraZeneca, but may still be available in generic varieties.","[['P07550'], ['P08588'], ['P08908'], ['P10635'], ['P13945']]"
DB00867,Ritodrine,Adrenergic beta-agonist used to control premature labor.,"[['P07550'], ['P52209']]"
DB00868,Benzonatate,"Benzonatate is an oral antitussive drug used in the relief and suppression of cough in patients older than ten years of age.[A5790] Currently, benzonatate is the only non-narcotic antitussive available as a prescription drug.[A189519] It works to reduce the activity of cough reflex by desensitizing the tissues of the lungs and pleura involved in the cough reflex. Benzonatate was approved by the FDA in 1958 under the market name Tessalon Perles.[A5790] Because its chemical structure resembles that of the anesthetic agents in the para-amino-benzoic acid class (such as [procaine] and [tetracaine]), benzonatate exhibits anesthetic or numbing action.[L11193] Although it not prone to drug misuse or abuse, benzonatate is associated with a risk for severe toxicity and overdose, especially in children.[A189513]","[['P06276'], ['Q14524']]"
DB00869,Dorzolamide,"Dorzolamide is a non-bacteriostatic sulfonamide derivative [A1304] and topical carbonic anhydrase (CA) inhibitor that treats elevated intraocular pressure (IOP) associated with open-angle glaucoma and ocular hypertension.[L11377] It works by blocking an enzyme in the ciliary process that regulates ion balance and fluid pressure in the eyes.[A1303] Unlike oral CA inhibitors, dorzolamide has negligible effects of acid-base or electrolyte disturbances and other systemic adverse effects.[A1304] First marketed in 1995,[A190624] dorzolamide is available in ophthalmic solutions as monotherapy marketed as Trusopt [L11377] or in combination with [timolol] as Cosopt PF.[L11380]","[['P00915'], ['P00918'], ['P05181'], ['P07451'], ['P11712'], ['P22748']]"
DB00870,Suprofen,An ibuprofen-type anti-inflammatory analgesic and antipyretic. It inhibits prostaglandin synthesis and has been proposed as an anti-arthritic. It is no longer approved for use in the United States.,"[['P02768', 'Q8TES7'], ['P11712'], ['P16662'], ['P22309'], ['P23219'], ['P35354'], ['Q96S37']]"
DB00871,Terbutaline,"Terbutaline was first synthesized in 1966[A230333] and described in the literature in the late 1960s and early 1970s.[A230328] It is a selective beta-2 adrenergic agonist used as a bronchodilator in asthmatic patients.[A230333,L32093,L32098]Terbutaline was granted FDA approval on 25 March 1974.[L32088]","[['O00338', 'O75897'], ['O15244'], ['O43704'], ['O60656'], ['O75897'], ['O76082'], ['P06133'], ['P06276'], ['P07550'], ['P08588'], ['P0DMM9'], ['P0DMN0'], ['P13945'], ['P16662'], ['P19224'], ['P22309'], ['P22310'], ['P35503'], ['P50225'], ['P50226'], ['P54855'], ['Q06520'], ['Q6IMI6'], ['Q9BR01'], ['Q9HAW7'], ['Q9HAW8'], ['Q9HAW9'], ['Q6IMI4']]"
DB00872,Conivaptan,Conivaptan is a non-peptide inhibitor of antidiuretic hormone (vasopressin). It was approved in 2004 for hyponatremia (low blood sodium levels) caused by syndrome of inappropriate antidiuretic hormone (SIADH). Conivaptan inhibits both isotypes of the vasopressin receptor (V1a and V2).,"[['P08183'], ['P08684'], ['P30518'], ['P37288']]"
DB14596,Loteprednol etabonate,"Loteprednol Etabonate (LE) is a topical corticoid anti-inflammatory. It is used in ophthalmic solution for the treatment of steroid responsive inflammatory conditions of the eye such as allergic conjunctivitis, uveitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, and selected infective conjunctivitides. As a nasal spray, it can be used for the treatment and management of seasonal allergic rhinitis.Most prescription LE products, however, tend to be indicated for the treatment of post-operative inflammation and pain following ocular surgery [FDA Label]. A number of such new formulations that have been approved include Kala Pharmaceutical's Inveltys - the first twice-daily (BID) ocular corticosteroid approved for this indication, designed specifically to enhance patient compliance and simplified dosing compared to all other similar ocular steroids that are dosed four times daily [L4545].Moreover, LE was purposefully engineered to be a 'soft drug', one that is designed to be active locally at the site of administration and then rapidly metabolized to inactive components after eliciting its actions at the desired location, thereby subsequently minimizing the chance for adverse effects [A38693].","[['P04150'], ['P08684'], ['P27169']]"
DB00874,Guaifenesin,"Guaifenesin possesses a storied history, having been originally formally approved by the US FDA in 1952 and continues to be one of very few - if not perhaps the only drug that is readily available and used as an expectorant [F4525]. Since that time the agent has been a combination component of various prescription and non-prescription over-the-counter cough and cold products and is currently a widely available over-the-counter generic medication [F4525]. Although it is principally believed that guaifenesin elicits an action to facilitate productive cough to manage chest congestion [A177661, L6100, F4516, F4522, F4525], it is not known whether the agent can reliably mitigate coughing.Regardless, on March 1, 2007, the FDA received a petition asking the FDA to notify the public that some antitussives, expectorants, decongestants, antihistamines, and cough/cold combinations are not known to be safe and effective in children under the age of 6 years [F4525]. After the negotiation between FDA and major manufacturers, a voluntary transition of labels for not using guaifenesin in children under the age of 4 years was endorsed by FDA in 2008 [F4525].Furthermore, there has also been contemporary research to suggest that guaifenesin possesses and is capable of demonstrating anticonvulsant and muscle relaxant effects to some degree possibly by acting as an NMDA receptor antagonist [A177652].","[['O15399'], ['O60391'], ['Q05586'], ['Q12879'], ['Q13224'], ['Q14957'], ['Q8TCU5']]"
DB00875,Flupentixol,"Flupentixol is an antipsychotic drug of the thioxanthene group. It exists in two geometric isomers, the trans(E) and pharmacologically active cis(Z) forms. Flupentixol decanoate is one of the active ingredients found in injectable drug formulations: it is produced by esterification of cis(Z)‐flupentixol with decanoic acid.[A229083] Flupentixol is an antagonist of both D1 and D2 dopamine receptors.[A229083]Available as oral tablets or long-acting intramuscular injections, flupentixol is marketed under brand names such as Depixol and Fluanxol. It is approved for use in Canada and other countries around the world, but not in the US. It is used for the management of chronic schizophrenia in patients whose main manifestations do not include excitement, agitation or hyperactivity.[L31808] It has been marketed to manage symptoms of depression in patients who may or may not exhibit signs of anxiety.[L31928] In combination with [melitracen], flupentixol is used to manage symptoms of anxiety, depression, and asthenia.[L31923]","[['P08183'], ['P11229'], ['P14416'], ['P20711'], ['P21728'], ['P21917'], ['P02795', 'P23141'], ['P28223'], ['P28335'], ['P25100', 'P35348'], ['P35462']]"
DB00876,Eprosartan,"Eprosartan is an angiotensin II receptor antagonist used to treat hypertension. It performs 2 actions on the renin angiotensin system. By preventing the binding of angiotensin II to AT1, vascular smooth muscle relaxes and vasodilation occurs. By inhibiting norepinephrine production, blood pressure is further reduced.","[['P30556'], ['Q92887']]"
DB00877,Sirolimus,"Sirolimus, also known as rapamycin, is a macrocyclic lactone antibiotic produced by bacteria _Streptomyces hygroscopicus_, which was isolated from the soil of the Vai Atari region of Rapa Nui (Easter Island).[A242412] It was first isolated and identified as an antifungal agent with potent anticandida activity; however, after its potent antitumor and immunosuppressive activities were later discovered, it was extensively investigated as an immunosuppressive and antitumour agent.[A13448] Its primary mechanism of action is the inhibition of the mammalian target of rapamycin (mTOR), which is a serine/threonine-specific protein kinase that regulates cell growth, proliferation, and survival. mTOR is an important therapeutic target for various diseases, as it was shown to regulate longevity and maintain normal glucose homeostasis.[A242417] Targeting mTOR received more attention especially in cancer, as mTOR signalling pathways are constitutively activated in many types of human cancer.[A1320]Sirolimus was first approved by the FDA in 1999 for the prophylaxis of organ rejection in patients aged 13 years and older receiving renal transplants.[A242372] In November 2000, the drug was recognized by the European Agency as an alternative to calcineurin antagonists for maintenance therapy with corticosteroids.[A242412] In May 2015, the FDA approved sirolimus for the treatment of patients with lymphangioleiomyomatosis.[L39292] In November 2021, albumin-bound sirolimus for intravenous injection was approved by the FDA for the treatment of adults with locally advanced unresectable or metastatic malignant perivascular epithelioid cell tumour (PEComa).[L39267] Sirolimus was also investigated in other cancers such as skin cancer, Kaposi’s Sarcoma, cutaneous T-cell lymphomas, and tuberous sclerosis.[A242372] The topical formulation of sirolimus, marketed as HYFTOR, was approved by the FDA in April 2022: this marks the first topical treatment approved in the US for facial angiofibroma associated with tuberous sclerosis complex.[L41494]","[['O14791'], ['O95445'], ['P02647'], ['P02649'], ['P02652'], ['P02655'], ['P02656'], ['P02763'], ['P02768', 'Q8TES7'], ['P04114'], ['P05090'], ['P06727'], ['P08183'], ['P08519'], ['P08684'], ['P20815'], ['P24462'], ['P42345'], ['Q96FL8'], ['Q9Y6L6']]"
DB00878,Chlorhexidine,"Chlorhexidine is a broad-spectrum antimicrobial biguanide used as a topical antiseptic and in dental practice for the treatment of inflammatory dental conditions caused by microorganisms.[L11512] It is one of the most common skin and mucous membrane antiseptic agents in use today.[A190417] The molecule itself is a cationic bis-guanide consisting of two 4-chlorophenyl rings and two biguanide groups joined by a central hexamethylene chain.[A190453] Topical chlorhexidine for disinfection, as well as oral rinses for dental use, carries activity against a broad range of pathogens including bacteria, yeasts, and viruses.[L11518,L11512,A190453]Chlorhexidine was developed in the UK by Imperial Chemical Industries in the early 1950s[A190474] and was introduced to the US in the 1970s.[L11572] The FDA withdrew its approval for the use of chlorhexidine gluconate topical tincture 0.5%, due to a significant number of reports concerning chemical and thermal burns associated with the use of this product.[L43942,L44027] Other formulations of chlorhexidine continue to be available.","[['P02768', 'Q8TES7']]"
DB00879,Emtricitabine,"Emtricitabine is a nucleoside reverse transcriptase inhibitor (NRTI) indicated for the treatment of HIV infection in adults[L9019] or combined with [tenofovir alafenamide] for the prevention of HIV-1 infection in high risk adolescents and adults.[L9010] Emtricitabine is a cytidine analogue.[L9019] The drug works by inhibiting HIV reverse transcriptase, preventing transcription of HIV RNA to DNA.[L9019]Emtricitabine was granted FDA approval on 2 July 2003.[L9019]","[['P02768', 'Q8TES7'], ['P27707'], ['Q96FL8']]"
DB00880,Chlorothiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. (From Martindale, The Extra Pharmacopoeia, 30th ed, p812)","[['P00915'], ['P00918'], ['P55017'], ['Q4U2R8']]"
DB00881,Quinapril,"Quinapril is the ethyl ester prodrug of the non-sulfhydryl angiotensin converting enzyme inhibitor quinaprilat.[L8420,L8423] It is used to treat hypertension and heart failure.[L8420,L8423] ACE inhibitors are commonly used as a first line therapy in the treatment of hypertension, along with thiazide diuretics or beta blockers.[A184844]Quinapril was granted FDA approval on 19 November 1991.[L8420] A combination tablet with [hydrochlorothiazide] was also approved on 28 December 1999.[L8423]","[['P02768', 'Q8TES7'], ['P12821'], ['P02795', 'P23141'], ['P46059'], ['Q16348'], ['Q8TCC7']]"
DB00882,Clomifene,A triphenyl ethylene stilbene derivative which is an estrogen agonist or antagonist depending on the target tissue.,"[['P03372'], ['P04278'], ['P05093'], ['P08183']]"
DB00883,Isosorbide dinitrate,A vasodilator used in the treatment of angina pectoris. Its actions are similar to nitroglycerin but with a slower onset of action.,"[['P05181'], ['P16066']]"
DB00884,Risedronic acid,"Risedronic acid is a third generation bisphosphonate that is used for the treatment of some forms of osteoperosis and Paget's disease[FDA Label][A959,A203111]. It functions by preventing resorption of bone[FDA Label][A959].","[['P14324'], ['P35354']]"
DB00886,Omapatrilat,"Omapatrilat is an investigational drug that inhibits both neutral endopeptidase (NEP) and angiotensin converting enzyme (ACE). The inhibition of NEP elevates natriuretic peptide levels, increasing excretion of sodium in urine, dilating blood vessels, and reducing preload and ventricular remodeling. This drug from BMS was not approved by the FDA due to angioedema safety concerns.","[['P08473'], ['P12821']]"
DB00887,Bumetanide,Bumetanide  is a sulfamyl diuretic.,"[['P13569'], ['P35354'], ['P46721'], ['P55011'], ['Q13621'], ['Q14973'], ['Q4U2R8'], ['Q8TCC7'], ['Q9H2X9'], ['Q9NSA0'], ['Q9UP95'], ['Q9Y694']]"
DB00888,Mechlorethamine,"A vesicant and necrotizing irritant destructive to mucous membranes, mechlorethamine is an alkylating drug. It was formerly used as a war gas. The hydrochloride is used as an antineoplastic in Hodgkin's disease and lymphomas. It causes severe gastrointestinal and bone marrow damage.The FDA granted marketing approval for the orphan drug Valchlor (mechlorethamine) gel on August 23, 2013 for the topical treatment of stage IA and IB mycosis fungoides-type cutaneous T-cell lymphoma (CTCL) in patients who have received prior skin-directed therapy. Each tube of Valchlor contains 0.016% of mechlorethamine which is equivalent to 0.02% mechlorethamine HCl.",[['P06276']]
DB00889,Granisetron,A serotonin receptor (5HT-3 selective) antagonist that has been used as an antiemetic and antinauseant for cancer chemotherapy patients.,"[['P04798'], ['P08684'], ['P46098']]"
